Celsius   Kelvin   Fahrenheit   Rankine   Delisle   Reaumur   Romer
-------   ------   ----------   -------   -------   -------   -----
   0.00   273.15        32.00    491.67    150.00      0.00    7.50
  10.00   283.15        50.00    509.67    135.00      8.00   12.75
  20.00   293.15        68.00    527.67    120.00     16.00   18.00
  30.00   303.15        86.00    545.67    105.00     24.00   23.25
  40.00   313.15       104.00    563.67     90.00     32.00   28.50
  50.00   323.15       122.00    581.67     75.00     40.00   33.75
  60.00   333.15       140.00    599.67     60.00     48.00   39.00
  70.00   343.15       158.00    617.67     45.00     56.00   44.25
  80.00   353.15       176.00    635.67     30.00     64.00   49.50
  90.00   363.15       194.00    653.67     15.00     72.00   54.75
 100.00   373.15       212.00    671.67      0.00     80.00   60.00
 110.00   383.15       230.00    689.67    -15.00     88.00   65.25
 120.00   393.15       248.00    707.67    -30.00     96.00   70.50
 130.00   403.15       266.00    725.67    -45.00    104.00   75.75
 140.00   413.15       284.00    743.67    -60.00    112.00   81.00
 150.00   423.15       302.00    761.67    -75.00    120.00   86.25
 160.00   433.15       320.00    779.67    -90.00    128.00   91.50
 170.00   443.15       338.00    797.67   -105.00    136.00   96.75
 180.00   453.15       356.00    815.67   -120.00    144.00  102.00
 190.00   463.15       374.00    833.67   -135.00    152.00  107.25
